id,date,time,x,y
5,2004/1/1,1:4:0,211,177.4,
6,2004/1/1,1:4:0,696.6,987.0,
7,2004/1/1,1:4:0,367.6,169.8,
8,2004/1/1,1:4:0,543.6,123.0,
9,2004/1/1,1:4:0,747.4,208.4,
10,2004/1/1,1:4:0,656.6,207.0,
11,2004/1/1,1:4:0,733.4,877.6,
12,2004/1/1,1:4:0,90.6,1209.2,
13,2004/1/1,1:4:0,472.4,138.0,
14,2004/1/1,1:4:0,720.6,42.0,
15,2004/1/1,1:4:0,670.8,128.8,
16,2004/1/1,1:4:0,531.4,890.8,
17,2004/1/1,1:4:0,582.2,153.0,
18,2004/1/1,1:4:0,214.8,1079.4,
19,2004/1/1,1:4:0,218.8,1017.0,
20,2004/1/1,1:4:0,305.4,708.0,
21,2004/1/1,1:4:0,564.8,770.0,
22,2004/1/1,1:4:0,314.8,622.6,
23,2004/1/1,1:4:0,309.4,910.6,
24,2004/1/1,1:4:0,559,685.6,
25,2004/1/1,1:4:0,164.4,948.8,
26,2004/1/1,1:4:0,582.2,664.0,
27,2004/1/1,1:4:0,630.2,479.6,
28,2004/1/1,1:4:0,248.4,1110.2,
29,2004/1/1,1:4:0,510.6,624.2,
30,2004/1/1,1:4:0,638.2,381.8,
31,2004/1/1,1:4:0,262.6,566.6,
32,2004/1/1,1:4:0,303,42.6,
33,2004/1/1,1:4:0,260.2,279.2,
34,2004/1/1,1:4:0,152.2,982.6,
35,2004/1/1,1:4:0,374.4,1103.2,
36,2004/1/1,1:4:0,697,566.6,
37,2004/1/1,1:4:0,672.2,990.4,
38,2004/1/1,1:4:0,359,1118.6,
39,2004/1/1,1:4:0,580.2,1010.2,
40,2004/1/1,1:4:0,690.8,258.8,
41,2004/1/1,1:4:0,67.6,1012.8,
42,2004/1/1,1:4:0,768.6,689.0,
43,2004/1/1,1:4:0,159,567.0,
44,2004/1/1,1:4:0,715.4,153.2,
45,2004/1/1,1:4:0,569,688.0,
46,2004/1/1,1:4:0,91,893.6,
47,2004/1/1,1:4:0,554.6,295.4,
48,2004/1/1,1:4:0,581.8,286.0,
49,2004/1/1,1:4:0,677.4,564.4,
50,2004/1/1,1:4:0,365.2,1092.4,
51,2004/1/1,1:4:0,707.8,240.6,
52,2004/1/1,1:4:0,691,132.8,
53,2004/1/1,1:4:0,572.2,114.8,
54,2004/1/1,1:4:0,142,176.8,
55,2004/1/1,1:4:0,202.8,1215.0,
56,2004/1/1,1:4:0,263.2,983.2,
57,2004/1/1,1:4:0,670.2,1048.4,
58,2004/1/1,1:4:0,756,1094.2,
59,2004/1/1,1:4:0,434.2,1045.6,
60,2004/1/1,1:4:0,565.4,669.8,
61,2004/1/1,1:4:0,137.4,544.6,
62,2004/1/1,1:4:0,160,572.0,
63,2004/1/1,1:4:0,72,769.0,
64,2004/1/1,1:4:0,475,678.4,
65,2004/1/1,1:4:0,361.6,582.6,
66,2004/1/1,1:4:0,127.2,159.6,
67,2004/1/1,1:4:0,301.6,369.2,
68,2004/1/1,1:4:0,570.8,1120.8,
69,2004/1/1,1:4:0,588.2,581.0,
70,2004/1/1,1:4:0,723.2,464.0,
71,2004/1/1,1:4:0,446,162.0,
72,2004/1/1,1:4:0,739.8,33.0,
73,2004/1/1,1:4:0,267.2,992.4,
74,2004/1/1,1:4:0,740.2,889.8,
75,2004/1/1,1:4:0,557.4,583.6,
76,2004/1/1,1:4:0,273.6,602.6,
77,2004/1/1,1:4:0,606.8,692.2,
78,2004/1/1,1:4:0,88.6,895.2,
79,2004/1/1,1:4:0,755.8,70.2,
80,2004/1/1,1:4:0,138,549.8,
81,2004/1/1,1:4:0,647.6,192.2,
82,2004/1/1,1:4:0,555.6,583.4,
83,2004/1/1,1:4:0,351.6,258.6,
84,2004/1/1,1:4:0,626.8,691.8,
85,2004/1/1,1:4:0,201.6,714.0,
86,2004/1/1,1:4:0,119.6,1197.6,
87,2004/1/1,1:4:0,691.2,250.6,
88,2004/1/1,1:4:0,738.4,801.2,
89,2004/1/1,1:4:0,280.4,696.2,
90,2004/1/1,1:4:0,94.6,908.0,
91,2004/1/1,1:4:0,552.6,634.4,
92,2004/1/1,1:4:0,358,689.4,
93,2004/1/1,1:4:0,548.4,1091.8,
94,2004/1/1,1:4:0,570.8,1115.4,
95,2004/1/1,1:4:0,50.6,624.2,
96,2004/1/1,1:4:0,473,150.2,
97,2004/1/1,1:4:0,514,783.4,
98,2004/1/1,1:4:0,161.8,245.2,
99,2004/1/1,1:4:0,741.4,882.6,
100,2004/1/1,1:4:0,97.6,623.2,
1,2004/1/1,1:5:0,145.4,152.0,
2,2004/1/1,1:5:0,481,200.4,
3,2004/1/1,1:5:0,363.8,548.6,
4,2004/1/1,1:5:0,658.4,257.2,
5,2004/1/1,1:5:0,211.8,202.4,
6,2004/1/1,1:5:0,695.2,988.8,
7,2004/1/1,1:5:0,367.6,169.6,
8,2004/1/1,1:5:0,543,122.4,
9,2004/1/1,1:5:0,728.2,207.4,
10,2004/1/1,1:5:0,641.4,207.6,
11,2004/1/1,1:5:0,733.6,877.2,
12,2004/1/1,1:5:0,90.4,1209.6,
13,2004/1/1,1:5:0,472.4,139.8,
14,2004/1/1,1:5:0,719.6,42.2,
15,2004/1/1,1:5:0,671.8,128.8,
16,2004/1/1,1:5:0,530.8,889.6,
17,2004/1/1,1:5:0,582.8,153.2,
18,2004/1/1,1:5:0,214.6,1065.2,
19,2004/1/1,1:5:0,219,1014.0,
20,2004/1/1,1:5:0,304.6,707.2,
21,2004/1/1,1:5:0,563.2,771.2,
22,2004/1/1,1:5:0,309.6,623.0,
23,2004/1/1,1:5:0,309.4,909.0,
24,2004/1/1,1:5:0,559.6,685.6,
25,2004/1/1,1:5:0,165,950.0,
26,2004/1/1,1:5:0,580.6,663.8,
27,2004/1/1,1:5:0,631.6,503.6,
28,2004/1/1,1:5:0,249,1109.2,
29,2004/1/1,1:5:0,500.2,624.8,
30,2004/1/1,1:5:0,638.6,378.2,
31,2004/1/1,1:5:0,262,565.6,
32,2004/1/1,1:5:0,303,44.2,
33,2004/1/1,1:5:0,259.2,279.4,
34,2004/1/1,1:5:0,153,981.0,
35,2004/1/1,1:5:0,375,1102.0,
36,2004/1/1,1:5:0,696.4,565.4,
37,2004/1/1,1:5:0,672,991.0,
38,2004/1/1,1:5:0,357.6,1117.4,
39,2004/1/1,1:5:0,580.8,1010.4,
40,2004/1/1,1:5:0,691,258.0,
41,2004/1/1,1:5:0,67,1012.8,
42,2004/1/1,1:5:0,767.6,687.8,
43,2004/1/1,1:5:0,160.6,566.6,
44,2004/1/1,1:5:0,715.4,151.8,
45,2004/1/1,1:5:0,569.2,686.8,
46,2004/1/1,1:5:0,92.8,894.0,
47,2004/1/1,1:5:0,554.6,293.6,
48,2004/1/1,1:5:0,582.2,285.4,
49,2004/1/1,1:5:0,679.2,563.6,
50,2004/1/1,1:5:0,364.2,1092.8,
51,2004/1/1,1:5:0,709,240.2,
52,2004/1/1,1:5:0,692.6,133.6,
53,2004/1/1,1:5:0,571.2,114.6,
54,2004/1/1,1:5:0,141.4,178.0,
55,2004/1/1,1:5:0,201,1219.2,
56,2004/1/1,1:5:0,262.8,984.4,
57,2004/1/1,1:5:0,651,1047.0,
58,2004/1/1,1:5:0,756.6,1092.8,
59,2004/1/1,1:5:0,426.2,1044.2,
60,2004/1/1,1:5:0,563.8,670.2,
61,2004/1/1,1:5:0,135.6,544.8,
